Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,04:30,09h 30m,INR 640,22 Seats available,"3.9
43",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,03:45,07h 45m,INR 473,14 Seats available,"3.8
85",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 1585,Swift Deluxe Non AC Air Bus (2+2),20:40,06:10,09h 30m,INR 640,10 Seats available,"3.5
64",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 1586,Swift Deluxe Non AC Air Bus (2+2),21:30,06:55,09h 25m,INR 640,1 Seat available,"3.1
39",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,07:35,09h 25m,INR 640,1 Seat available,"4.3
27",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:30,06:00,07h 30m,INR 627,1 Seat available,"3.9
57",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,09:40,10h 40m,INR 469,3 Seats available,"3.4
35",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,09:50,10h 20m,INR 469,5 Seats available,"3.4
72",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:40,10:00,10h 20m,INR 627,22 Seats available,"3.5
56",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,INR 599,31 Seats available,"4.1
344",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,INR 649,17 Seats available,"4.3
121",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
NS Transports,Non A/C Seater / Sleeper (2+1),22:30,06:45,08h 15m,INR 649,17 Seats available,4.0,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
AdSAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,09h 00m,740,8 Seats available,"4.1
296",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 700,14 Seats available,"4.5
553",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,INR 1000,13 Seats available,"4.1
109",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,INR 899,12 Seats available,"4.4
107",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
AdSuraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 800,12 Seats available,"3.7
266",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 999,4 Seats available,"4.3
320",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,INR 699,11 Seats available,"4.2
275",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
DA Transports,A/C Sleeper (2+1),21:45,06:55,09h 10m,INR 849,14 Seats available,"4.0
242",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
National travels and logistics,A/C Sleeper (2+1),22:45,07:00,08h 15m,749,11 Seats available,"4.1
99",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 800,22 Seats available,"4.3
68",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
SAAM BUS,A/C Seater / Sleeper (2+1),21:45,05:50,08h 05m,INR 750,10 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,INR 500,29 Seats available,"3.0
263",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,09h 00m,569,13 Seats available,"3.6
157",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09h 05m,INR 800,19 Seats available,"3.3
117",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,05:30,08h 30m,INR 799,20 Seats available,"3.5
111",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
MMK Travels,A/C Sleeper (2+1),23:00,07:30,08h 30m,INR 850,9 Seats available,"3.9
37",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
National travels and logistics,NON A/C Sleeper (2+1),22:30,06:15,07h 45m,749,11 Seats available,"3.6
166",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,INR 899,7 Seats available,"3.9
293",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,09h 30m,550,14 Seats available,"3.2
100",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
P K Travels,Non A/C Seater / Sleeper (2+1),18:45,05:15,10h 30m,INR 799,15 Seats available,"3.6
76",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,06:30,08h 30m,700,18 Seats available,"3.2
43",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 699,40 Seats available,3.5,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
A1 Travels,A/C Seater / Sleeper (2+1),22:30,06:30,08h 00m,463,28 Seats available,"2.6
59",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09h 15m,INR 500,26 Seats available,"2.7
66",https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kerala
Perinchery Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),19:30,23:55,04h 25m,INR 850,22 Seats available,4.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,INR 700,1 Seat available,"3.3
146",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,INR 750,3 Seats available,"4.0
45",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Sonia Travels,A/C Seater/Sleeper (2+1),23:30,04:29,04h 59m,INR 680,5 Seats available,"3.5
9",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Madhavi Travels,A/C Sleeper (2+1),23:40,05:00,05h 20m,INR 899,3 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,05:30,05h 35m,774,2 Seats available,"4.3
20",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
UFO Bus,A/C Sleeper (2+1),23:55,05:30,05h 35m,964,2 Seats available,"4.5
11",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,06:00,06h 01m,INR 700,5 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Kalpaka Travels 1,A/C Sleeper (2+1),23:59,06:00,06h 01m,INR 900,2 Seats available,"4.5
24",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Arya Travels,A/C Sleeper (2+1),23:59,05:30,05h 31m,INR 945,7 Seats available,"4.1
11",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Cochin Bus,Bharat Benz A/C Sleeper (2+1),23:59,05:35,05h 36m,INR 900,6 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
EMERALD TRAVELS,Bharat Benz A/C Seater (2+2),23:59,06:05,06h 06m,INR 699,29 Seats available,3.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),00:20,05:30,05h 10m,725,5 Seats available,"4.8
4",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
UFO Bus,Volvo A/C Semi Sleeper (2+2),00:20,05:30,05h 10m,INR 799,6 Seats available,"3.1
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Blue Bird Travels,A/C Seater Push Back (2+2),21:40,01:59,04h 19m,INR 899,18 Seats available,"2.1
8",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,01:45,03h 30m,INR 850,1 Seat available,"2.9
19",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Aadithya Travels,A/C Seater/Sleeper (2+1),23:30,04:30,05h 00m,INR 500,15 Seats available,2.5,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:59,05:00,05h 01m,INR 700,5 Seats available,"2.6
12",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,02:00,04h 15m,INR 1200,36 Seats available,"3.3
7",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,02:01,04h 16m,INR 1000,9 Seats available,"4.6
6",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
BLM Transports,A/C Sleeper (2+1),22:00,02:45,04h 45m,1620,2 Seats available,"3.5
7",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
EMERALD TRAVELS,A/C Sleeper (2+1),22:10,02:40,04h 30m,INR 1499,12 Seats available,3.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,03:15,03h 45m,INR 1600,18 Seats available,"5.0
4",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,03:10,03h 40m,INR 1099,29 Seats available,3.9,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,02:35,03h 05m,INR 1099,12 Seats available,"4.6
7",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,05:55,05h 56m,INR 999,1 Seat available,"5.0
7",https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
Cochin Bus,A/C Sleeper (2+1),23:59,06:00,06h 01m,INR 1000,1 Seat available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
KP Travels,A/C Seater (2+2),21:15,01:45,04h 30m,INR 1599,1 Seat available,2.4,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kerala
P K Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,INR 1200,13 Seats available,"4.2
219",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
SKS Tours & Travels,A/C Sleeper (2+1),21:00,06:00,09h 00m,INR 1399,11 Seats available,"4.3
85",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
MMK Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 1398,3 Seats available,"4.4
568",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
AdFAST LINE BUS,A/C Sleeper (2+1),21:15,06:15,09h 00m,1069,14 Seats available,"4.0
38",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
DLT BUS,A/C Sleeper (2+1),21:45,06:30,08h 45m,INR 1250,4 Seats available,"4.4
329",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
MMK Travels,A/C Sleeper (2+1),21:00,05:30,08h 30m,INR 1299,6 Seats available,"4.6
57",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
National travels and logistics,A/C Sleeper (2+1),21:00,06:15,09h 15m,1090,4 Seats available,"4.5
73",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
NS Transports,VE A/C Sleeper (2+1),20:16,06:30,10h 14m,INR 1099,3 Seats available,"4.0
160",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
SAAM BUS,VE A/C Sleeper (2+1),20:30,06:15,09h 45m,INR 1300,1 Seat available,"4.3
235",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Silver Line Travels,Non A/C Seater / Sleeper (2+1),20:00,05:10,09h 10m,INR 1100,1 Seat available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
SAAM BUS,A/C Seater / Sleeper (2+1),21:15,06:15,09h 00m,1018,5 Seats available,4.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
P K Travels,A/C Seater / Sleeper (2+1),21:45,06:45,09h 00m,INR 950,17 Seats available,"3.9
34",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Suraj Holidays,VE A/C Sleeper (2+1),22:00,07:15,09h 15m,1150,11 Seats available,"3.3
278",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,06:30,09h 30m,759,5 Seats available,"3.4
168",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Sam Tourist,A/C Sleeper (2+1),22:00,06:30,08h 30m,1044,12 Seats available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,06:30,09h 00m,INR 999,12 Seats available,"3.4
76",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
National travels and logistics,NON A/C Sleeper (2+1),20:45,06:15,09h 30m,950,9 Seats available,"3.7
202",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
NS Transports,Non A/C Seater / Sleeper (2+1),22:00,06:00,08h 00m,INR 899,1 Seat available,"3.9
22",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
NS Transports,Non A/C Seater / Sleeper (2+1),19:31,04:30,08h 59m,INR 899,2 Seats available,"3.2
34",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),21:10,07:15,10h 05m,INR 1100,8 Seats available,"3.2
86",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Balaji Tourist,Volvo Multi-Axle A/C Semisleeper (2+2),22:30,06:30,08h 00m,1349,29 Seats available,"3.5
19",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
P K Travels,Non A/C Seater / Sleeper (2+1),21:00,06:00,09h 00m,INR 900,5 Seats available,"3.9
64",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
DA Transports,A/C Sleeper (2+1),21:50,06:45,08h 55m,INR 1149,2 Seats available,"3.7
37",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),20:30,05:30,09h 00m,INR 999,40 Seats available,3.4,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
NS Transports,Non A/C Seater / Sleeper (2+1),20:31,06:30,09h 59m,INR 899,1 Seat available,"3.4
31",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
A1 Travels,A/C Seater / Sleeper (2+1),22:30,06:30,08h 00m,833,19 Seats available,"2.9
96",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Usha Transport,NON A/C Sleeper (2+1),20:30,05:00,08h 30m,850,10 Seats available,2.2,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
A1 Travels,A/C Seater / Sleeper (2+1),20:00,05:30,09h 30m,INR 800,1 Seat available,"2.7
66",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
Suraj Holidays,NON AC Seater / Sleeper 2+1,20:15,05:55,09h 40m,850,4 Seats available,"2.5
33",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kerala
KSRTC (Kerala) - 2569,Super Fast Non AC Seater (2+3),18:00,00:35,06h 35m,INR 261,39 Seats available,"2.7
4",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 549,Super Express Non AC Seater Air Bus (2+2),18:05,00:50,06h 45m,INR 401,10 Seats available,"2.7
22",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 2517,Swift Deluxe Non AC Air Bus (2+2),18:36,23:16,04h 40m,INR 401,19 Seats available,"3.2
9",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 2131,Super Express Non AC Seater Air Bus (2+2),20:29,01:50,05h 21m,INR 288,6 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 352,Super Fast Non AC Seater (2+3),21:46,03:10,05h 24m,INR 269,29 Seats available,"3.8
19",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 1028,Super Fast Non AC Seater (2+3),22:10,03:30,05h 20m,INR 269,27 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 2071,Super Express Non AC Seater Air Bus (2+2),22:10,02:30,04h 20m,INR 268,2 Seats available,"3.7
5",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 43,Swift Deluxe Non AC Air Bus (2+2),22:15,03:21,05h 06m,INR 309,1 Seat available,"2.8
7",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 408,Super Express Non AC Seater Air Bus (2+2),22:30,02:45,04h 15m,INR 299,2 Seats available,2.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 697,Super Fast Non AC Seater (2+3),22:34,03:35,05h 01m,INR 231,12 Seats available,"4.5
13",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
KSRTC (Kerala) - 47,Swift Deluxe Non AC Air Bus (2+2),22:55,03:52,04h 57m,INR 309,1 Seat available,"2.9
8",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Shajees Motors,A/C Semi Sleeper (2+2),19:30,00:40,05h 10m,INR 600,15 Seats available,"3.1
48",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Ubc travels,A/C Seater/Sleeper (2+1),20:45,03:00,06h 15m,INR 900,15 Seats available,"3.5
5",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Holy Maria Travels,A/C Semi Sleeper (2+2),20:50,02:10,05h 20m,INR 600,17 Seats available,"4.1
4",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,02:30,05h 35m,INR 800,7 Seats available,"4.4
25",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Adrin Travels,A/C Seater/Sleeper (2+1),21:00,02:00,05h 00m,INR 850,7 Seats available,"4.8
12",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Sona Travels,Bharat Benz A/C Sleeper (2+1),21:00,02:45,05h 45m,INR 850,12 Seats available,3.2,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,02:30,05h 15m,INR 600,25 Seats available,4.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
UFO Bus,A/C Sleeper (2+1),21:15,02:45,05h 30m,794,3 Seats available,"4.1
4",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Madhavi Travels,A/C Semi Sleeper (2+2),21:30,02:15,04h 45m,INR 599,3 Seats available,"3.8
15",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Cochin Bus,A/C Sleeper (2+1),21:30,02:30,05h 00m,INR 800,6 Seats available,4.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:30,02:45,05h 15m,674,8 Seats available,"4.5
20",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Madhavi Travels,A/C Sleeper (2+1),21:40,02:05,04h 25m,INR 899,11 Seats available,4.1,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Cochin Bus,Bharat Benz A/C Sleeper (2+1),21:45,03:00,05h 15m,INR 800,12 Seats available,4.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Madhavi Travels,A/C Sleeper (2+1),21:45,03:00,05h 15m,INR 799,9 Seats available,"4.3
6",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
SG Travels,Bharat Benz A/C Sleeper (2+1),21:45,02:30,04h 45m,INR 849,1 Seat available,"4.1
6",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Arya Travels,A/C Sleeper (2+1),21:45,03:15,05h 30m,INR 895,20 Seats available,3.2,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Sonia Travels,A/C Semi Sleeper (2+2),21:50,02:45,04h 55m,INR 600,15 Seats available,3.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Kalpaka Travels 1,A/C Semi Sleeper (2+2),22:00,03:00,05h 00m,INR 600,9 Seats available,"4.8
21",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Madhavi Travels,A/C Semi Sleeper (2+2),22:10,03:35,05h 25m,INR 749,10 Seats available,"3.8
12",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Madhavi Travels,A/C Semi Sleeper (2+2),22:10,03:35,05h 25m,INR 699,4 Seats available,"3.4
14",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
Sonia Travels,A/C Seater/Sleeper (2+1),22:15,02:29,04h 14m,INR 680,22 Seats available,3.8,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),23:30,04:30,05h 00m,INR 800,12 Seats available,"3.6
19",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05:30,05h 31m,INR 700,16 Seats available,"3.4
34",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
A1 Travels,Bharat Benz A/C Sleeper (2+1),23:45,04:00,04h 15m,INR 900,4 Seats available,"2.7
9",https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode,Kerala
